index,Unnamed: 0,year,배우명,영화명,개봉일,개봉30일전,개봉7일후,매출액,상영횟수,상영수 대비 매출액,라잌수1,트윗수1
145,145.0,2016.0,제시 아이젠버그,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,2016-02-23,2016-03-31,18906246428.0,95669.0,197621.4492468825,421,730
143,143.0,2016.0,에이미 아담스,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,2016-02-23,2016-03-31,18906246428.0,95669.0,197621.4492468825,211,812
142,142.0,2016.0,벤 애플렉,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,2016-02-23,2016-03-31,18906246428.0,95669.0,197621.4492468825,1480,4133
141,141.0,2016.0,헨리 카빌,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,2016-02-23,2016-03-31,18906246428.0,95669.0,197621.4492468825,1847,5284
144,144.0,2016.0,로렌스 피쉬번,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,2016-02-23,2016-03-31,18906246428.0,95669.0,197621.4492468825,0,3
96,96.0,2016.0,권지훈,형,2016-11-23,2016-10-24,2016-11-30,23113768293.0,83518.0,276751.9372231136,0,0
95,95.0,2016.0,박신혜,형,2016-11-23,2016-10-24,2016-11-30,23113768293.0,83518.0,276751.9372231136,106007,92087
94,94.0,2016.0,도경수,형,2016-11-23,2016-10-24,2016-11-30,23113768293.0,83518.0,276751.9372231136,246492,361665
93,93.0,2016.0,조정석,형,2016-11-23,2016-10-24,2016-11-30,23113768293.0,83518.0,276751.9372231136,87074,134110
97,97.0,2016.0,김승아,형,2016-11-23,2016-10-24,2016-11-30,23113768293.0,83518.0,276751.9372231136,3,7
55,55.0,2016.0,지니퍼 굿윈,주토피아,2016-02-17,2016-01-18,2016-02-24,37096057742.0,131005.0,283165.20546544023,3,9
57,57.0,2016.0,샤키라,주토피아,2016-02-17,2016-01-18,2016-02-24,37096057742.0,131005.0,283165.20546544023,23,110
56,56.0,2016.0,제이슨 베이트먼,주토피아,2016-02-17,2016-01-18,2016-02-24,37096057742.0,131005.0,283165.20546544023,1,7
49,49.0,2016.0,치웨텔 에지오포,닥터 스트레인지,2016-10-26,2016-09-26,2016-11-02,47481830396.0,162856.0,291557.1449378592,9,16
48,48.0,2016.0,매즈 미켈슨,닥터 스트레인지,2016-10-26,2016-09-26,2016-11-02,47481830396.0,162856.0,291557.1449378592,3259,4330
47,47.0,2016.0,틸다 스윈튼,닥터 스트레인지,2016-10-26,2016-09-26,2016-11-02,47481830396.0,162856.0,291557.1449378592,1074,3633
46,46.0,2016.0,레이첼 맥아담스,닥터 스트레인지,2016-10-26,2016-09-26,2016-11-02,47481830396.0,162856.0,291557.1449378592,901,2806
45,45.0,2016.0,베네딕트 컴버배치,닥터 스트레인지,2016-10-26,2016-09-26,2016-11-02,47481830396.0,162856.0,291557.1449378592,3009,6766
82,82.0,2016.0,정인기,귀향,2016-02-24,2016-01-25,2016-03-02,27249738990.0,90286.0,301815.77420641074,13,24
81,81.0,2016.0,최리,귀향,2016-02-24,2016-01-25,2016-03-02,27249738990.0,90286.0,301815.77420641074,106,265
78,78.0,2016.0,손숙,귀향,2016-02-24,2016-01-25,2016-03-02,27249738990.0,90286.0,301815.77420641074,33,176
79,79.0,2016.0,강하나,귀향,2016-02-24,2016-01-25,2016-03-02,27249738990.0,90286.0,301815.77420641074,34,294
80,80.0,2016.0,서미지,귀향,2016-02-24,2016-01-25,2016-03-02,27249738990.0,90286.0,301815.77420641074,253,470
125,125.0,2016.0,곽도원,아수라,2016-09-28,2016-08-29,2016-10-05,20576226662.0,68040.0,302413.67815990595,6803,9654
123,123.0,2016.0,황정민,아수라,2016-09-28,2016-08-29,2016-10-05,20576226662.0,68040.0,302413.67815990595,4954,5887
124,124.0,2016.0,주지훈,아수라,2016-09-28,2016-08-29,2016-10-05,20576226662.0,68040.0,302413.67815990595,7448,11204
122,122.0,2016.0,김현빈,아수라,2016-09-28,2016-08-29,2016-10-05,20576226662.0,68040.0,302413.67815990595,0,2
121,121.0,2016.0,정우성,아수라,2016-09-28,2016-08-29,2016-10-05,20576226662.0,68040.0,302413.67815990595,9835,18609
106,106.0,2016.0,앨리슨 제니,미스 페레그린과 이상한 아이들의 집,2016-09-28,2016-08-29,2016-10-05,21841214586.0,70451.0,310019.9370626393,1,2
105,105.0,2016.0,아사 버터필드,미스 페레그린과 이상한 아이들의 집,2016-09-28,2016-08-29,2016-10-05,21841214586.0,70451.0,310019.9370626393,1,28
104,104.0,2016.0,사무엘 L. 잭슨,미스 페레그린과 이상한 아이들의 집,2016-09-28,2016-08-29,2016-10-05,21841214586.0,70451.0,310019.9370626393,20,48
103,103.0,2016.0,에바 그린,미스 페레그린과 이상한 아이들의 집,2016-09-28,2016-08-29,2016-10-05,21841214586.0,70451.0,310019.9370626393,793,2017
