■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2019-05-03,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2013-01-01~2013-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
1,7번방의 선물,1/23/2013,"91,431,914,670",5.9%,"91,431,914,670","12,811,206","12,811,206",866,"166,815",한국,한국,"(주)화인웍스,(주)씨엘엔터테인먼트",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이환경,"류승룡,박신혜,갈소원,정진영,오달수,박원상,김정태,정만식,김기천,장호준,김동민,박수진,박유경,박정배,조덕현,박상면,조재윤,박길수"
2,설국열차,8/1/2013,"67,010,087,500",4.3%,"67,010,087,500","9,349,993","9,349,993","1,128","124,823",한국,"한국,체코","(주)모호필름,오퍼스픽쳐스(유)",씨제이이앤엠(주),15세이상관람가,"SF,액션",봉준호,"크리스 에반스,송강호,에드 해리스,존 허트,틸다 스윈튼,제이미 벨,옥타비아 스펜서,이완 브렘너,고아성,알리슨 필,허찬"
3,관상,9/11/2013,"66,005,427,500",4.3%,"66,005,427,500","9,134,581","9,134,581","1,240","125,073",한국,한국,"(주)주피터필름,(주)쇼박스",(주)쇼박스,15세이상관람가,"사극,드라마",한재림,"송강호,이정재,백윤식,조정석,이종석,김혜수,신기원,윤종구,윤희원,이도엽,권영각,김길동,정준식,조훈휘,표유신,하정수,한만영,노준표,문혜진,박진우,전신환,김강현,유재명,김의성,정대용,김근영,서현우"
4,아이언맨 3,4/25/2013,"70,806,364,000",4.6%,"70,806,364,000","9,001,331","9,001,331","1,389","163,584",미국,미국,파라마운트 픽쳐스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"액션,어드벤처,SF",쉐인 블랙,"로버트 다우니 주니어,기네스 팰트로우,벤 킹슬리,가이 피어스,레베카 홀,폴 베타니,존 파브로"
5,베를린,1/30/2013,"52,355,568,637",3.4%,"52,355,568,637","7,166,290","7,166,290",894,"111,744",한국,"한국,독일","(주)외유내강,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,액션,류승완,"하정우,한석규,류승범,전지현,이경영,최무성,곽도원,김서형,백승익"
6,은밀하게 위대하게,6/5/2013,"48,700,887,413",3.1%,"48,700,887,413","6,959,083","6,959,083","1,341","117,461",한국,한국,(주)엠씨엠씨,(주)쇼박스,15세이상관람가,"액션,코미디,드라마",장철수,"김수현,박기웅,이현우,손현주,박혜숙,김성균,고창석,장광,신정근,홍경인,이채영,박은빈,최우식,이연경,이재남,이주원,장하은,장하진,황의준,송경호,이명규,주현,조영진,성유빈"
7,변호인,12/18/2013,"40,953,398,000",2.6%,"40,953,398,000","5,687,047","5,687,047",923,"55,006",한국,한국,위더스필름(주),(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,양우석,"송강호,김영애,오달수,곽도원,임시완,송영창,정원중,조민기,이항나,이성민,차광수,한기중,심희섭,김동현,조완기,차은재,최주희,주명철,조선묵,유하복,김봉환,지건우,최은석,최현,최정현,박상현,신안진,조기왕,조유신,이선희,장리우,정준원,이정은,이진희,민경옥,정성화,박성근,신승용,김찬이,원호섭,윤탁,한승도,조용준,정재민,권오진,이설구,노영하,장우진,이해성,김승태,신욱,황건,권영국,양명헌,정원조,윤준호,이호원,설창희,홍도성,김형석,김호진,양정인,이동현,이정건,김리후,육미옥,김호연,백성식,김선주,김가영,이준기,이형은,김서영,오병남,전광진,조현덕,김경인,이상호,김성민,류수영,박수영,이경인,최태환,김서영,이현정"
8,숨바꼭질,8/14/2013,"39,602,977,500",2.6%,"39,602,977,500","5,604,103","5,604,103",779,"88,062",한국,한국,(주)드림캡쳐,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,허정,"손현주,문정희,전미선,장채린,김수안,김원해,노수산나,정준원,김근영,성유빈"
9,더 테러 라이브,7/31/2013,"39,869,706,381",2.6%,"39,869,706,381","5,584,139","5,584,139",809,"93,488",한국,한국,(주)씨네이천,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,기타",김병우,"하정우,이경영,전혜진,이다윗,이재관,이춘연,장성환,전려경,박수화,김홍파,김대명,최진호,김소진"
10,감시자들,7/3/2013,"39,380,162,179",2.5%,"39,380,162,179","5,508,017","5,508,017",949,"100,309",한국,한국,영화사 집,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,액션","조의석,김병서","설경구,정우성,한효주,진경,이준호,임달화,손민석,김대진,이태형,강신하,이동휘,이화정,김진곤,박지훈,김지훈,신성일,변요한,정우근,장원형,장유리,조도연,지영준,한영주,문성렬,박영진,박지연,백동현,신경철,이가람,이상민,김병옥"
11,월드 워 Z,6/20/2013,"38,555,356,000",2.5%,"38,555,356,000","5,237,525","5,237,525",964,"100,823",미국,미국,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"드라마,스릴러,SF,액션,어드벤처",마크 포스터,"브래드 피트,미레유 에노스,매튜 폭스"
12,신세계,2/21/2013,"34,881,330,905",2.2%,"34,881,330,905","4,682,492","4,682,492",671,"90,580",한국,한국,"(주)사나이픽처스,(주)페퍼민트앤컴퍼니,(주)대명문화공장,(주)파트너스케이",(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,"범죄,액션",박훈정,"이정재,최민식,황정민,박성웅,송지효,정영기,이경영,정군,정민욱,정종화,최봉록,권지훈,한동욱,한재덕,허명행,남경민,신수정,연영식,김병옥,김홍파,장광,정재헌,김윤성,최일화,리우진,박인수"
13,박수건달,1/9/2013,"28,343,986,569",1.8%,"28,379,548,569","3,893,216","3,897,969",603,"60,585",한국,한국,"주식회사 제이앤피,박수건달문화산업전문(유),(주)쇼박스",(주)쇼박스,15세이상관람가,코미디,조진규,"박신양,김정태,엄지원,정혜영,김성균,최일화,최지호,김형범,장원종,이충재,장성진,장진,조용우,김에스라,현태환,박세진,서형찬,이덕화,정윤선,김홍파"
14,스파이,9/5/2013,"24,509,278,305",1.6%,"24,509,278,305","3,435,802","3,435,802",785,"72,796",한국,"한국,태국","(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,액션,이승준,"설경구,문소리,다니엘 헤니,고창석,한예리,라미란,서승인,이대수,이성제,최승현,오대환,이무생,강석철,김종수,조영진,김소진,차순배,서현우"
15,그래비티,10/17/2013,"31,214,018,600",2.0%,"31,214,018,600","3,194,693","3,194,693",636,"80,584",미국,미국,,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",12세이상관람가,"SF,드라마",알폰소 쿠아론,"산드라 블록,조지 클루니"
16,타워,12/25/2012,"22,996,601,500",1.5%,"37,654,858,000","3,166,425","5,181,014",638,"58,869",한국,한국,"씨제이이앤엠(주),(주)더타워픽쳐스",씨제이이앤엠(주),12세이상관람가,드라마,김지훈,"설경구,손예진,김상경,김인권,도지한,안성기,이한위,김성오,송재호,차인표,박철민,조민아,권현상,박정학,임경만,장혜리,조윤경,배진호,안용우,전배수,이창용,박영수,이주실"
17,감기,8/14/2013,"21,774,884,000",1.4%,"21,774,884,000","3,117,859","3,117,859",806,"55,046",한국,한국,"아이러브시네마,(주)아이필름홀딩스,씨제이이앤엠(주)",아이러브시네마,15세이상관람가,"드라마,어드벤처,액션",김성수,"장혁,수애,박민하,유해진,이희준,김기현,이상엽,박효주,박정민,최병모,마동석,차인표,정석원,나기찬(윤숭태),정재형,김남준,한승희,전상진,이영수,한정학,이학수,장슬기,김태준,박성철,박예슬,박진혁,박희권,유순철,나윤성,남문철"
18,토르: 다크 월드,10/30/2013,"22,525,808,500",1.5%,"22,525,808,500","3,039,889","3,039,889",733,"78,095",미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"액션,어드벤처,판타지",앨런 테일러,"크리스 헴스워스,톰 히들스턴,나탈리 포트만,스텔란 스카스가드,이드리스 엘바,안소니 홉킨스"
19,레드: 더 레전드,7/18/2013,"21,511,371,970",1.4%,"21,511,371,970","3,004,649","3,004,649",739,"55,733",미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,코미디,범죄",딘 패리소트,"브루스 윌리스,존 말코비치,메리-루이스 파커,이병헌,캐서린 제타-존스,안소니 홉킨스,헬렌 미렌"
20,친구 2,11/14/2013,"21,795,237,513",1.4%,"21,795,237,513","2,969,900","2,969,900",968,"69,856",한국,한국,"(주)트리니티엔터테인먼트,(주)제이콘컴퍼니",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,액션,곽경택,"유오성,주진모,김우빈,김미진,최종석,한기준,문혜지,황순영,신승찬,양혜경,이재덕,정종호,정현수,이준혁,장영남,이철민,이동훈,기주봉,정호빈,한재영,지승현,황성준,조민준"
21,어바웃 타임,12/5/2013,"20,908,973,000",1.3%,"20,908,973,000","2,856,065","2,856,065",568,"49,967",영국,영국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"멜로/로맨스,코미디",리차드 커티스,"레이첼 맥아담스,도널 글리슨,빌 나이"
22,나우 유 씨 미 : 마술사기단,8/22/2013,"19,146,691,869",1.2%,"19,146,691,869","2,718,227","2,718,227",691,"54,658",미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"범죄,액션,스릴러",루이스 리테리어,"제시 아이젠버그,마크 러팔로,우디 해럴슨,멜라니 로랑,아일라 피셔,데이브 프랑코,마이클 케인,모건 프리먼"
23,소원,10/2/2013,"18,529,862,600",1.2%,"18,529,862,600","2,711,083","2,711,083",651,"72,329",한국,한국,필름모멘텀,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,이준익,"설경구,엄지원,이레,김해숙,김상호,라미란,양진성,이승택,하진,조복래,안세하,서현우"
24,레미제라블,12/19/2012,"19,635,813,500",1.3%,"43,064,419,000","2,707,479","5,917,586",592,"49,348",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,톰 후퍼,"휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터"
25,퍼시픽 림,7/11/2013,"20,477,374,512",1.3%,"20,477,374,512","2,539,113","2,539,113","1,005","55,655",미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,SF,어드벤처",길예르모 델 토로,"찰리 허냄,론 펄먼,이드리스 엘바,찰리 데이"
26,화이: 괴물을 삼킨 아이,10/9/2013,"17,695,412,795",1.1%,"17,695,412,795","2,394,453","2,394,453",817,"59,049",한국,한국,"나우필름(주),파인하우스필름(주),(주)쇼박스",(주)쇼박스,청소년관람불가,"액션,스릴러",장준환,"여진구,김윤석,조진웅,장현성,김성균,박해준,임지은,남지현,설우신,이성,이태종,한진,홍준표,유연석,이준혁,박진우,한주완,서영화,이진성,장인섭,손강국,이승용,김근영,이유미"
27,컨저링,9/17/2013,"16,353,225,777",1.1%,"16,353,225,777","2,262,758","2,262,758",563,"48,616",미국,미국,,워너브러더스 코리아(주),15세이상관람가,"공포(호러),스릴러",제임스 완,"베라 파미가,패트릭 윌슨,릴리 테일러"
28,맨 오브 스틸,6/13/2013,"17,092,964,063",1.1%,"17,092,964,063","2,182,227","2,182,227",998,"55,514",미국,미국,,워너브러더스 코리아(주),12세이상관람가,SF,잭 스나이더,"헨리 카빌,에이미 아담스,러셀 크로우,케빈 코스트너"
